track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
515,298,2,2022,5,13,1890,0,33381454,3,0,2,0,0.0,140,,Minor,49,50,37,87,0,11,35
777,516,2,2022,4,1,1308,2,184622518,23,16,9,0,5.0,174,,Major,68,45,71,18,0,11,25
882,358,2,2022,1,26,4531,0,300983101,135,74,119,1,18.0,127,,Major,77,53,78,19,0,29,4
349,609,2,2022,5,6,1657,0,121077868,15,3,3,0,0.0,96,,Major,71,37,52,62,0,11,36
330,272,2,2022,4,29,1351,0,106919680,26,1,17,0,0.0,150,,Minor,82,82,66,13,0,11,6
908,253,1,2022,4,13,608,0,136996305,5,29,14,0,0.0,100,,Major,87,46,60,1,0,13,16
710,91,1,2021,12,24,1211,0,65719930,31,0,19,0,2.0,105,,Minor,73,59,81,13,0,9,6
262,317,1,2022,5,2,629,0,229497852,18,75,9,0,0.0,104,,Major,86,43,62,5,0,13,14
2,329,1,2022,3,23,1301,0,185550869,23,1,15,0,0.0,154,,Major,54,45,79,1,0,17,5
659,505,1,2022,2,22,1329,0,54682594,42,51,32,0,0.0,80,,Major,47,33,83,18,0,10,5
886,219,2,2022,4,24,343,2,240580042,4,35,11,1,1.0,150,,Major,53,14,43,64,0,13,3
367,564,1,1998,3,31,13101,9,1284942608,137,5,582,0,0.0,156,,Minor,32,49,72,0,0,9,4
802,296,1,2022,5,8,2939,0,71423324,29,0,30,0,0.0,98,,Minor,76,79,81,18,0,6,34
668,311,1,2019,11,7,407,1,244891912,5,0,5,0,0.0,92,,Major,58,27,36,86,0,9,3
816,558,1,2022,5,6,1492,0,132171975,26,2,15,0,2.0,144,,Major,47,7,50,32,0,7,4
305,545,1,2017,10,20,2264,0,184706613,11,6,25,0,1.0,150,,Major,37,27,56,8,0,13,3
277,327,1,2021,8,9,801,0,184826429,42,9,24,1,1.0,138,,Major,70,31,44,84,0,9,39
899,38,1,2022,6,10,829,0,302006641,32,110,26,0,0.0,172,,Major,56,68,89,4,0,33,19
648,38,1,2022,6,10,736,0,330881149,5,132,17,0,3.0,77,,Major,72,70,82,2,0,4,17
521,223,1,2022,5,20,4449,1,334733572,80,11,66,0,1.0,107,,Major,72,36,72,26,6,11,4
486,223,1,2022,5,20,3218,3,366214458,29,10,79,0,0.0,114,,Major,51,39,29,90,0,10,4
278,38,1,2022,6,10,327,0,114546317,5,40,12,0,0.0,117,,Major,63,29,51,43,0,25,4
192,223,1,2022,5,20,2775,0,290833204,21,11,40,0,0.0,146,,Major,69,63,45,48,0,18,4
855,135,1,2022,5,6,4576,0,448500832,79,13,93,0,17.0,160,,Minor,80,74,60,8,0,14,26
136,454,4,2022,6,10,2313,0,136676504,34,0,29,0,0.0,120,,Major,88,15,56,1,0,8,6
609,82,3,2022,5,27,3983,0,190625045,73,45,119,0,0.0,100,,Minor,82,76,70,16,0,8,5
106,38,1,2022,6,10,279,0,79095270,0,18,6,0,0.0,158,,Minor,60,68,84,4,0,24,11
439,223,1,2022,5,20,2302,0,273194684,20,3,39,0,0.0,142,,Major,56,40,54,72,0,10,4
408,414,4,2022,5,20,3559,3,333146475,36,1,31,0,1.0,170,,Minor,80,77,85,11,0,17,14
830,284,2,2022,5,27,2129,0,194902696,23,1,44,1,0.0,84,,Minor,71,39,86,2,0,51,25
670,223,1,2022,5,20,3291,5,311482393,43,28,79,0,208.0,139,,Major,58,30,46,14,0,9,3
583,400,1,1982,1,1,5328,0,195918494,54,76,900,0,0.0,151,,Major,73,88,67,20,0,32,5
857,67,2,2022,6,8,1401,0,248511839,26,16,17,0,1.0,128,,Minor,82,42,75,6,0,63,6
450,223,1,2022,5,20,1933,0,233671263,13,2,31,0,0.0,118,,Major,56,20,54,67,0,6,5
307,223,1,2022,5,20,1986,0,199587884,7,1,15,0,0.0,183,,Major,65,88,72,36,14,20,3
719,220,1,2022,6,9,1057,0,91781263,51,14,19,0,0.0,83,,Minor,63,29,62,4,0,18,4
88,40,2,2022,2,18,5115,13,383835984,109,38,301,1,33.0,122,,Major,85,42,80,6,0,17,14
